,season,date,team_h,team_a,h_goals,a_goals,h_xg,a_xg
2878,2021,2022-02-09 19:45:00,Norwich,Crystal Palace,1,1,0.296411,1.22883
2879,2021,2022-02-09 19:45:00,Tottenham,Southampton,2,3,1.74286,1.73293
2880,2021,2022-02-09 19:45:00,Manchester City,Brentford,2,0,1.98246,0.461305
2881,2021,2022-02-09 20:00:00,Aston Villa,Leeds,3,3,1.5013,2.52914
2882,2021,2022-02-10 19:45:00,Wolverhampton Wanderers,Arsenal,0,1,0.641359,1.45247
2883,2021,2022-02-10 19:45:00,Liverpool,Leicester,2,0,2.72997,0.544954
2884,2021,2022-02-12 12:30:00,Manchester United,Southampton,1,1,2.99207,0.677386
2885,2021,2022-02-12 15:00:00,Brentford,Crystal Palace,0,0,1.97576,0.49802
2886,2021,2022-02-12 15:00:00,Everton,Leeds,3,0,2.58561,0.242668
2887,2021,2022-02-12 15:00:00,Watford,Brighton,0,2,0.532979,1.80456
2888,2021,2022-02-12 17:30:00,Norwich,Manchester City,0,4,0.356755,4.44653
2889,2021,2022-02-13 14:00:00,Burnley,Liverpool,0,1,1.16081,1.95722
2890,2021,2022-02-13 14:00:00,Newcastle United,Aston Villa,1,0,0.527571,0.455206
2891,2021,2022-02-13 14:00:00,Tottenham,Wolverhampton Wanderers,0,2,0.838197,1.87026
2892,2021,2022-02-13 16:30:00,Leicester,West Ham,2,2,1.40693,0.745068
2893,2021,2022-02-15 20:15:00,Manchester United,Brighton,2,0,2.74936,1.26179
2894,2021,2022-02-19 12:30:00,West Ham,Newcastle United,1,1,0.847948,0.932574
2895,2021,2022-02-19 15:00:00,Arsenal,Brentford,2,1,1.52247,0.640726
2896,2021,2022-02-19 15:00:00,Aston Villa,Watford,0,1,1.0267,1.82051
2897,2021,2022-02-19 15:00:00,Brighton,Burnley,0,3,0.44587,0.821228
2898,2021,2022-02-19 15:00:00,Crystal Palace,Chelsea,0,1,0.624023,1.12339
2899,2021,2022-02-19 15:00:00,Liverpool,Norwich,3,1,3.15449,0.66975
2900,2021,2022-02-19 15:00:00,Southampton,Everton,2,0,2.72851,0.19991
2901,2021,2022-02-19 17:30:00,Manchester City,Tottenham,2,3,2.31773,2.00235
2902,2021,2022-02-20 14:00:00,Leeds,Manchester United,2,4,1.74476,2.60999
2903,2021,2022-02-20 16:30:00,Wolverhampton Wanderers,Leicester,2,1,0.472777,1.55048
2904,2021,2022-02-23 19:30:00,Burnley,Tottenham,1,0,1.55576,0.691655
2905,2021,2022-02-23 19:30:00,Watford,Crystal Palace,1,4,1.71917,0.818403
2906,2021,2022-02-23 19:45:00,Liverpool,Leeds,6,0,5.3303,0.141547
2907,2021,2022-02-24 19:45:00,Arsenal,Wolverhampton Wanderers,2,1,2.50961,1.10934
2908,2021,2022-02-25 20:00:00,Southampton,Norwich,2,0,3.08863,0.424877
2909,2021,2022-02-26 12:30:00,Leeds,Tottenham,0,4,1.89569,2.47025
2910,2021,2022-02-26 15:00:00,Brentford,Newcastle United,0,2,0.494232,2.25373
2911,2021,2022-02-26 15:00:00,Crystal Palace,Burnley,1,1,1.03765,0.255988
2912,2021,2022-02-26 15:00:00,Manchester United,Watford,0,0,2.41457,0.437185
2913,2021,2022-02-26 15:30:00,Brighton,Aston Villa,0,2,0.627107,1.3027
2914,2021,2022-02-26 17:30:00,Everton,Manchester City,0,1,0.770819,1.93422
2915,2021,2022-02-27 14:00:00,West Ham,Wolverhampton Wanderers,1,0,1.62241,0.892018
2916,2021,2022-03-01 19:45:00,Burnley,Leicester,0,2,1.04214,1.79558
2917,2021,2022-03-05 12:30:00,Leicester,Leeds,1,0,0.359129,2.14389
2918,2021,2022-03-05 15:00:00,Aston Villa,Southampton,4,0,2.85379,1.32947
2919,2021,2022-03-05 15:00:00,Burnley,Chelsea,0,4,0.849232,2.2868
2920,2021,2022-03-05 15:00:00,Newcastle United,Brighton,2,1,1.58028,1.64995
2921,2021,2022-03-05 15:00:00,Norwich,Brentford,1,3,0.77334,2.22064
2922,2021,2022-03-05 15:00:00,Wolverhampton Wanderers,Crystal Palace,0,2,0.710865,2.53759
2923,2021,2022-03-05 17:30:00,Liverpool,West Ham,1,0,2.18865,1.33829
2924,2021,2022-03-06 14:00:00,Watford,Arsenal,2,3,1.29603,1.00457
2925,2021,2022-03-06 16:30:00,Manchester City,Manchester United,4,1,2.74434,0.361782
2926,2021,2022-03-07 20:00:00,Tottenham,Everton,5,0,3.24279,0.208263
2927,2021,2022-03-10 19:30:00,Wolverhampton Wanderers,Watford,4,0,1.55037,0.498696
2928,2021,2022-03-10 19:30:00,Southampton,Newcastle United,1,2,1.79835,0.812233
2929,2021,2022-03-10 19:30:00,Norwich,Chelsea,1,3,0.965723,2.1308
2930,2021,2022-03-10 19:45:00,Leeds,Aston Villa,0,3,0.194028,1.2729
2931,2021,2022-03-12 12:30:00,Brighton,Liverpool,0,2,0.629316,2.48312
2932,2021,2022-03-12 15:00:00,Brentford,Burnley,2,0,1.82002,0.825311
2933,2021,2022-03-12 17:30:00,Manchester United,Tottenham,3,2,1.0181,1.62374
2934,2021,2022-03-13 14:00:00,Chelsea,Newcastle United,1,0,1.07072,0.246037
2935,2021,2022-03-13 14:00:00,Everton,Wolverhampton Wanderers,0,1,0.397268,0.712135
2936,2021,2022-03-13 14:00:00,Leeds,Norwich,2,1,3.11755,1.40148
2937,2021,2022-03-13 14:00:00,Southampton,Watford,1,2,1.25696,1.29385
2938,2021,2022-03-13 14:00:00,West Ham,Aston Villa,2,1,1.58468,1.05391
2939,2021,2022-03-13 16:30:00,Arsenal,Leicester,2,0,2.93665,0.54911
2940,2021,2022-03-14 20:00:00,Crystal Palace,Manchester City,0,0,0.474002,2.04021
2941,2021,2022-03-16 19:30:00,Brighton,Tottenham,0,2,1.04171,2.05196
2942,2021,2022-03-16 20:15:00,Arsenal,Liverpool,0,2,0.534265,1.27681
2943,2021,2022-03-17 19:45:00,Everton,Newcastle United,1,0,0.708809,0.75803
2944,2021,2022-03-18 20:00:00,Wolverhampton Wanderers,Leeds,2,3,1.24075,2.82103
2945,2021,2022-03-19 12:30:00,Aston Villa,Arsenal,0,1,0.309375,1.14522
2946,2021,2022-03-20 14:00:00,Leicester,Brentford,2,1,1.27865,1.72466
2947,2021,2022-03-20 16:30:00,Tottenham,West Ham,3,1,2.54795,0.644964
2948,2021,2022-04-02 11:30:00,Liverpool,Watford,2,0,2.23651,0.753307
2949,2021,2022-04-02 14:00:00,Wolverhampton Wanderers,Aston Villa,2,1,1.62151,1.91256
2950,2021,2022-04-02 14:00:00,Leeds,Southampton,1,1,1.50715,2.06387
2951,2021,2022-04-02 14:00:00,Chelsea,Brentford,1,4,1.29014,2.43422
2952,2021,2022-04-02 14:00:00,Burnley,Manchester City,0,2,0.0591223,1.62008
2953,2021,2022-04-02 14:00:00,Brighton,Norwich,0,0,2.38297,0.494112
2954,2021,2022-04-02 16:30:00,Manchester United,Leicester,1,1,0.902127,1.07638
2955,2021,2022-04-03 13:00:00,West Ham,Everton,2,1,1.49657,0.657846
2956,2021,2022-04-03 15:30:00,Tottenham,Newcastle United,5,1,3.6081,0.538152
2957,2021,2022-04-04 19:00:00,Crystal Palace,Arsenal,3,0,1.39707,1.05199
2958,2021,2022-04-06 18:30:00,Burnley,Everton,3,2,2.24439,2.31574
2959,2021,2022-04-08 19:00:00,Newcastle United,Wolverhampton Wanderers,1,0,1.43878,0.306867
2960,2021,2022-04-09 11:30:00,Everton,Manchester United,1,0,0.357295,0.762357
2961,2021,2022-04-09 14:00:00,Watford,Leeds,0,3,1.07422,0.895612
2962,2021,2022-04-09 14:00:00,Southampton,Chelsea,0,6,0.564726,4.39683
2963,2021,2022-04-09 14:00:00,Arsenal,Brighton,1,2,2.35153,0.596106
2964,2021,2022-04-09 16:30:00,Aston Villa,Tottenham,0,4,1.48712,0.983601
2965,2021,2022-04-10 13:00:00,Norwich,Burnley,2,0,1.6723,1.44652
2966,2021,2022-04-10 13:00:00,Leicester,Crystal Palace,2,1,0.879235,1.52767
2967,2021,2022-04-10 13:00:00,Brentford,West Ham,2,0,1.85534,0.244824
