Division,MatchDate,HomeTeam,AwayTeam,HomeElo,AwayElo,Form3Home,Form5Home,Form3Away,Form5Away,FTResult,GF3Home,GA3Home,GF5Home,GA5Home,GF3Away,GA3Away,GF5Away,GA5Away,h_xg,a_xg,league,xG_diff,xg_margin,xg_ratio,rolling_xg_home_5,rolling_xg_away_5
I1,2014-08-30,Roma,Fiorentina,1760.5,1713.63,0.0,6.0,4.0,7.0,H,1.0,6.0,4.0,6.0,6.0,6.0,9.0,7.0,2.24014,0.377616,ITA-Serie A,1.8625239999999998,1.8625239999999998,5.932307073039614,2.24014,0.377616
D1,2014-08-30,Schalke 04,Bayern Munich,1798.77,2030.0,6.0,6.0,9.0,15.0,D,7.0,3.0,8.0,7.0,7.0,2.0,14.0,4.0,1.30795,1.50328,GER-Bundesliga,-0.19533,0.19533,0.870063547666737,1.30795,1.50328
D1,2014-08-30,Werder Bremen,Hoffenheim,1632.82,1681.27,4.0,7.0,6.0,7.0,D,5.0,4.0,10.0,10.0,7.0,4.0,8.0,7.0,2.51429,1.29948,GER-Bundesliga,1.21481,1.21481,1.9348416791011183,2.51429,1.29948
I1,2014-08-31,Palermo,Sampdoria,1576.07,1561.74,4.0,8.0,1.0,4.0,D,3.0,3.0,6.0,4.0,5.0,10.0,8.0,13.0,0.922943,0.803464,ITA-Serie A,0.119479,0.119479,1.1487034282762782,0.922943,0.803464
I1,2014-08-31,Genoa,Napoli,1566.53,1788.49,4.0,5.0,9.0,11.0,A,3.0,4.0,5.0,7.0,13.0,3.0,14.0,4.0,0.520545,1.79022,ITA-Serie A,-1.2696749999999999,1.2696749999999999,0.29077136286525523,0.520545,1.79022
I1,2014-08-31,Cesena,Parma,1458.3,1663.41,4.0,10.0,7.0,7.0,H,3.0,4.0,5.0,4.0,5.0,1.0,5.0,4.0,1.09417,0.438551,ITA-Serie A,0.6556190000000001,0.6556190000000001,2.4949606888122733,1.09417,0.438551
I1,2014-08-31,Atalanta,Verona,1584.73,1585.0,3.0,4.0,2.0,8.0,D,3.0,4.0,5.0,7.0,6.0,10.0,12.0,11.0,0.880993,0.727137,ITA-Serie A,0.153856,0.153856,1.211589822014528,0.880993,0.727137
SP1,2014-08-31,Villarreal,Barcelona,1783.38,2024.84,9.0,10.0,5.0,9.0,A,8.0,1.0,10.0,4.0,4.0,1.0,9.0,5.0,1.10836,3.12545,ESP-La Liga,-2.0170899999999996,2.0170899999999996,0.35462402066133814,1.10836,3.12545
SP1,2014-08-31,Elche,Granada,1682.16,1672.54,1.0,5.0,6.0,7.0,D,1.0,6.0,3.0,7.0,3.0,3.0,4.0,7.0,1.35652,0.762738,ESP-La Liga,0.5937819999999999,0.5937819999999999,1.7784851698942887,1.35652,0.762738
F1,2014-08-31,Metz,Lyon,1528.43,1707.11,2.0,6.0,3.0,6.0,H,1.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,1.50793,2.14951,FRA-Ligue 1,-0.6415799999999998,0.6415799999999998,0.7015223462452623,1.3628550000000001,1.7195749999999999
I1,2014-08-31,Sassuolo,Cagliari,1528.8,1560.83,6.0,9.0,0.0,6.0,D,9.0,7.0,11.0,10.0,0.0,7.0,3.0,8.0,1.08028,0.852461,ITA-Serie A,0.22781899999999988,0.22781899999999988,1.2672471030966774,1.08028,0.852461
I1,2014-08-31,Torino,Inter,1639.77,1677.66,5.0,9.0,3.0,7.0,D,4.0,3.0,9.0,6.0,5.0,4.0,7.0,4.0,1.09973,1.31374,ITA-Serie A,-0.2140099999999998,0.2140099999999998,0.8370980276934344,1.09973,1.31374
E0,2014-08-31,Tottenham,Liverpool,1800.83,1899.8,9.0,12.0,6.0,7.0,A,8.0,0.0,9.0,2.0,5.0,5.0,8.0,10.0,0.48592,2.74317,ENG-Premier League,-2.25725,2.25725,0.1771380639413292,1.43743,2.74317
E0,2014-08-31,Leicester,Arsenal,1639.41,1865.24,4.0,10.0,7.0,13.0,D,3.0,4.0,6.0,4.0,6.0,3.0,10.0,3.0,0.809743,2.29649,ENG-Premier League,-1.4867469999999998,1.4867469999999998,0.3526001190511959,1.0440215,1.86502
I1,2014-08-31,Udinese,Empoli,1608.36,1505.2,5.0,6.0,7.0,10.0,H,10.0,8.0,11.0,11.0,7.0,3.0,10.0,5.0,1.68654,0.68925,ITA-Serie A,0.9972899999999999,0.9972899999999999,2.4469170157170606,1.68654,0.68925
F1,2014-09-12,Lyon,Monaco,1650.71,1674.47,0.0,6.0,4.0,5.0,H,2.0,5.0,5.0,5.0,3.0,5.0,5.0,8.0,1.78993,0.920354,FRA-Ligue 1,0.869576,0.869576,1.9448256379331887,1.5870003333333333,0.7768916666666668
SP1,2014-09-12,Almeria,Cordoba,1676.96,1601.78,2.0,8.0,2.0,6.0,D,1.0,2.0,6.0,4.0,1.0,3.0,4.0,4.0,1.03628,0.763656,ESP-La Liga,0.2726240000000001,0.2726240000000001,1.356996662114012,1.03628,0.571033
F1,2014-09-13,Montpellier,Lorient,1573.84,1590.43,6.0,6.0,4.0,7.0,H,4.0,1.0,4.0,6.0,4.0,2.0,7.0,7.0,1.48717,0.37765,FRA-Ligue 1,1.10952,1.10952,3.9379479996081046,1.3659800000000002,0.7796623333333333
F1,2014-09-13,Nice,Metz,1527.8,1518.5,1.0,4.0,4.0,6.0,H,1.0,7.0,4.0,10.0,3.0,4.0,3.0,4.0,0.787783,0.509534,FRA-Ligue 1,0.27824899999999997,0.27824899999999997,1.5460822122130962,1.2775753333333333,0.6951237
F1,2014-09-13,Reims,Toulouse,1508.93,1572.02,0.0,1.0,6.0,9.0,H,3.0,9.0,6.0,14.0,3.0,2.0,8.0,6.0,0.295284,1.54377,FRA-Ligue 1,-1.2484860000000002,1.2484860000000002,0.19127448306776068,1.083692,1.55369
I1,2014-09-13,Empoli,Roma,1495.87,1765.11,4.0,7.0,3.0,6.0,A,4.0,4.0,7.0,6.0,2.0,2.0,5.0,6.0,0.593046,1.37321,ITA-Serie A,-0.7801640000000001,0.7801640000000001,0.4318680814528867,0.593046,1.37321
